state,city,year,month,week,disease,cases,deaths,temperature,precipitation,lai,latitude,longitude
Maharashtra,Mumbai,2012,1,1,Dengue,9,0,284.82,1.24,3.0,19.093718,72.867535
Maharashtra,Mumbai,2012,1,1,Malaria,1,0,291.78,2.5,4.48,19.081164,72.89008
Maharashtra,Mumbai,2012,1,1,Typhoid,1,0,292.71,1.97,0.95,19.079419,72.856855
Maharashtra,Mumbai,2012,1,1,Diarrhea,6,0,288.96,1.12,2.94,19.080259,72.877894
Maharashtra,Mumbai,2012,1,1,Chikungunya,2,0,296.09,3.5,2.97,19.060468,72.900717
Maharashtra,Mumbai,2012,1,1,Cholera,1,0,291.92,1.22,1.96,19.068097,72.888122
Maharashtra,Mumbai,2012,1,1,Acute Gastroenteritis,4,0,293.99,0.89,0.44,19.077153,72.886627
Maharashtra,Mumbai,2012,1,2,Dengue,17,0,291.18,0.5,0.8,19.063055,72.865635
Maharashtra,Mumbai,2012,1,2,Malaria,8,0,292.76,0.0,3.03,19.086971,72.879801
Maharashtra,Mumbai,2012,1,2,Typhoid,0,0,291.74,0.76,4.41,19.079647,72.887899
Maharashtra,Mumbai,2012,1,2,Diarrhea,1,0,295.17,0.0,1.54,19.092298,72.882074
Maharashtra,Mumbai,2012,1,2,Chikungunya,4,0,296.04,0.06,1.58,19.090221,72.853901
Maharashtra,Mumbai,2012,1,2,Cholera,1,0,293.7,3.29,2.82,19.084775,72.889077
Maharashtra,Mumbai,2012,1,2,Acute Gastroenteritis,0,0,290.71,0.0,2.44,19.09408,72.877296
Maharashtra,Mumbai,2012,1,3,Dengue,5,0,292.98,0.02,1.26,19.108898,72.865413
Maharashtra,Mumbai,2012,1,3,Malaria,5,0,291.74,0.52,3.87,19.0767,72.872148
Maharashtra,Mumbai,2012,1,3,Typhoid,2,0,291.81,0.35,1.61,19.083164,72.886095
Maharashtra,Mumbai,2012,1,3,Diarrhea,9,0,291.66,1.46,3.57,19.074469,72.865271
Maharashtra,Mumbai,2012,1,3,Chikungunya,2,0,288.91,0.69,1.58,19.086904,72.870345
Maharashtra,Mumbai,2012,1,3,Cholera,0,0,289.17,0.0,0.0,19.063715,72.901538
Maharashtra,Mumbai,2012,1,3,Acute Gastroenteritis,3,0,288.14,1.74,0.56,19.064807,72.86071
Maharashtra,Mumbai,2012,1,4,Dengue,12,0,290.38,0.13,3.41,19.083638,72.884059
Maharashtra,Mumbai,2012,1,4,Malaria,9,0,289.28,0.0,3.8,19.068346,72.866104
Maharashtra,Mumbai,2012,1,4,Typhoid,1,0,293.26,1.01,5.87,19.084696,72.885057
Maharashtra,Mumbai,2012,1,4,Diarrhea,5,0,289.33,0.0,1.49,19.065744,72.912674
Maharashtra,Mumbai,2012,1,4,Chikungunya,4,0,291.4,0.0,2.77,19.066184,72.88167
Maharashtra,Mumbai,2012,1,4,Cholera,2,0,289.61,1.09,4.17,19.075963,72.892251
Maharashtra,Mumbai,2012,1,4,Acute Gastroenteritis,2,0,290.01,0.0,2.98,19.088795,72.850764
Maharashtra,Mumbai,2012,2,1,Dengue,19,0,295.42,1.04,2.13,19.06054,72.883847
Maharashtra,Mumbai,2012,2,1,Malaria,2,0,292.93,0.54,2.62,19.087777,72.869367
Maharashtra,Mumbai,2012,2,1,Typhoid,1,0,295.3,2.69,2.67,19.076956,72.880854
Maharashtra,Mumbai,2012,2,1,Diarrhea,3,0,292.11,1.72,2.38,19.083278,72.869195
Maharashtra,Mumbai,2012,2,1,Chikungunya,2,0,297.39,0.8,0.55,19.066765,72.880349
Maharashtra,Mumbai,2012,2,1,Cholera,2,0,291.23,1.9,2.5,19.074884,72.89759
Maharashtra,Mumbai,2012,2,1,Acute Gastroenteritis,0,0,289.66,1.36,3.89,19.065604,72.886582
Maharashtra,Mumbai,2012,2,2,Dengue,13,0,292.52,0.67,2.47,19.077529,72.872123
Maharashtra,Mumbai,2012,2,2,Malaria,3,0,293.18,0.0,2.06,19.069278,72.889859
Maharashtra,Mumbai,2012,2,2,Typhoid,4,0,295.31,1.26,3.71,19.074987,72.883798
Maharashtra,Mumbai,2012,2,2,Diarrhea,2,0,290.39,0.86,1.87,19.074874,72.867909
Maharashtra,Mumbai,2012,2,2,Chikungunya,1,0,290.83,0.67,2.42,19.08737,72.899147
Maharashtra,Mumbai,2012,2,2,Cholera,1,0,292.25,0.62,2.79,19.077511,72.881606
Maharashtra,Mumbai,2012,2,2,Acute Gastroenteritis,0,0,287.68,1.04,2.7,19.06671,72.864003
Maharashtra,Mumbai,2012,2,3,Dengue,6,0,291.44,1.54,3.19,19.06735,72.878375
Maharashtra,Mumbai,2012,2,3,Malaria,8,0,293.11,0.85,4.37,19.066697,72.867416
Maharashtra,Mumbai,2012,2,3,Typhoid,1,0,292.98,0.0,3.2,19.073194,72.874739
Maharashtra,Mumbai,2012,2,3,Diarrhea,3,0,294.25,0.86,3.65,19.065731,72.887244
Maharashtra,Mumbai,2012,2,3,Chikungunya,3,0,291.42,0.0,4.48,19.063841,72.863652
Maharashtra,Mumbai,2012,2,3,Cholera,1,0,287.37,0.74,0.44,19.082549,72.883399
Maharashtra,Mumbai,2012,2,3,Acute Gastroenteritis,3,0,287.38,0.0,2.53,19.071097,72.877541
Maharashtra,Mumbai,2012,2,4,Dengue,14,0,290.35,2.02,3.32,19.093026,72.87568
Maharashtra,Mumbai,2012,2,4,Malaria,7,0,295.3,2.62,2.56,19.076071,72.875146
Maharashtra,Mumbai,2012,2,4,Typhoid,2,0,290.53,1.38,1.12,19.083196,72.88102
Maharashtra,Mumbai,2012,2,4,Diarrhea,5,0,288.44,0.73,2.72,19.074446,72.868139
Maharashtra,Mumbai,2012,2,4,Chikungunya,3,0,295.49,0.0,3.26,19.08321,72.878277
Maharashtra,Mumbai,2012,2,4,Cholera,2,0,294.14,0.0,2.48,19.083861,72.878792
Maharashtra,Mumbai,2012,2,4,Acute Gastroenteritis,1,0,289.63,1.15,2.34,19.066698,72.889777
Maharashtra,Mumbai,2012,3,1,Dengue,5,0,293.01,2.64,3.8,19.074096,72.880895
Maharashtra,Mumbai,2012,3,1,Malaria,8,0,291.97,1.16,2.64,19.084586,72.882933
Maharashtra,Mumbai,2012,3,1,Typhoid,1,0,296.55,0.0,2.71,19.071162,72.86807
Maharashtra,Mumbai,2012,3,1,Diarrhea,1,0,291.23,1.37,2.13,19.07097,72.877296
Maharashtra,Mumbai,2012,3,1,Chikungunya,2,0,293.21,1.76,5.04,19.083633,72.888628
Maharashtra,Mumbai,2012,3,1,Cholera,1,0,289.1,1.08,1.27,19.090169,72.880005
Maharashtra,Mumbai,2012,3,1,Acute Gastroenteritis,2,0,292.36,0.72,2.0,19.096234,72.877334
Maharashtra,Mumbai,2012,3,2,Dengue,4,0,290.08,1.23,1.33,19.091927,72.882319
Maharashtra,Mumbai,2012,3,2,Malaria,10,1,291.97,2.34,1.74,19.079735,72.880462
Maharashtra,Mumbai,2012,3,2,Typhoid,1,0,295.57,0.0,2.71,19.084793,72.868137
Maharashtra,Mumbai,2012,3,2,Diarrhea,2,0,295.22,0.19,5.31,19.079121,72.874186
Maharashtra,Mumbai,2012,3,2,Chikungunya,5,0,294.68,0.5,2.11,19.075778,72.886712
Maharashtra,Mumbai,2012,3,2,Cholera,0,0,294.38,0.0,3.25,19.072545,72.886563
